point ewma,point Taux FAIL,limite Construction,point loi norm sup,point loi norm inf,Dates,Date_comments,the_comments,Arcs
-0.6164548526807029,-0.66,2.0,0.8636319387608327,-0.23129527209416634,2020-06-19,,,144
-0.6251638821445623,-0.35,2.0,0.8636319387608327,-0.23129527209416634,2020-06-22,,,145
-0.5701311057156498,-0.66,2.0,0.8636319387608327,-0.23129527209416634,2020-06-23,,,146
-0.5881048845725199,-0.69,2.0,0.8636319387608327,-0.23129527209416634,2020-06-24,,,147
-0.6084839076580159,-0.69,2.0,0.8636319387608327,-0.23129527209416634,2020-06-25,,,148
-0.6247871261264127,-0.55,2.0,0.8636319387608327,-0.23129527209416634,2020-06-26,,,149
-0.6098297009011302,-0.27,2.0,0.8636319387608327,-0.23129527209416634,2020-06-29,,,150
-0.5418637607209043,-0.49,2.0,0.8636319387608327,-0.23129527209416634,2020-06-30,,,151
-0.5314910085767234,-0.78,2.0,0.8636319387608327,-0.23129527209416634,2020-07-01,,,152
-0.5811928068613788,-0.79,2.0,0.8636319387608327,-0.23129527209416634,2020-07-02,,,153
-0.622954245489103,-0.78,2.0,0.8636319387608327,-0.23129527209416634,2020-07-03,,,154
-0.6543633963912825,-0.67,2.0,0.8636319387608327,-0.23129527209416634,2020-07-04,,,155
-0.657490717113026,-0.58,2.0,0.8636319387608327,-0.23129527209416634,2020-07-06,,,156
-0.6419925736904208,-0.59,2.0,0.8636319387608327,-0.23129527209416634,2020-07-07,,,157
-0.6315940589523367,-0.22,2.0,0.8636319387608327,-0.23129527209416634,2020-07-08,,,158
-0.5492752471618694,-0.74,2.0,0.8636319387608327,-0.23129527209416634,2020-07-09,,,159
-0.5874201977294955,-0.81,2.0,0.8636319387608327,-0.23129527209416634,2020-07-10,,,160
-0.6319361581835965,-0.09,2.0,0.8636319387608327,-0.23129527209416634,2020-07-13,,,161
-0.5235489265468772,-0.32,2.0,0.8636319387608327,-0.23129527209416634,2020-07-15,,,162
-0.4828391412375018,-0.54,2.0,0.8636319387608327,-0.23129527209416634,2020-07-16,,,163
-0.4942713129900015,-0.58,2.0,0.8636319387608327,-0.23129527209416634,2020-07-17,,,164
-0.5114170503920012,-0.4,2.0,0.8636319387608327,-0.23129527209416634,2020-07-20,,,165
-0.489133640313601,-0.58,2.0,0.8636319387608327,-0.23129527209416634,2020-07-21,,,166
-0.5073069122508809,-0.32,2.0,0.8636319387608327,-0.23129527209416634,2020-07-22,,,167
-0.4698455298007047,-0.52,2.0,0.8636319387608327,-0.23129527209416634,2020-07-23,,,168
-0.47987642384056384,-0.65,2.0,0.8636319387608327,-0.23129527209416634,2020-07-24,,,169
-0.513901139072451,-0.54,2.0,0.8636319387608327,-0.23129527209416634,2020-07-27,,,170
-0.5191209112579609,-0.73,2.0,0.8636319387608327,-0.23129527209416634,2020-07-28,,,171
-0.5612967290063687,-0.57,2.0,0.8636319387608327,-0.23129527209416634,2020-07-29,,,172
-0.563037383205095,0.31,2.0,0.8636319387608327,-0.23129527209416634,2020-07-30,,,173
-0.388429906564076,-0.03,2.0,0.8636319387608327,-0.23129527209416634,2020-07-31,,,174
-0.3167439252512608,0.49,2.0,0.8636319387608327,-0.23129527209416634,2020-08-03,,,175
-0.15539514020100867,0.42,2.0,0.8636319387608327,-0.23129527209416634,2020-08-04,,,176
-0.04031611216080694,0.45,2.0,0.8636319387608327,-0.23129527209416634,2020-08-05,,,177
0.05774711027135446,0.51,2.0,0.8636319387608327,-0.23129527209416634,2020-08-06,,,178
0.14819768821708357,0.59,2.0,0.8636319387608327,-0.23129527209416634,2020-08-07,,,179
0.23655815057366686,0.23,2.0,0.8636319387608327,-0.23129527209416634,2020-08-10,,,180
0.23524652045893352,0.73,2.0,0.8636319387608327,-0.23129527209416634,2020-08-11,,,181
0.33419721636714683,0.57,2.0,0.8636319387608327,-0.23129527209416634,2020-08-12,,,182
0.3813577730937175,0.61,2.0,0.8636319387608327,-0.23129527209416634,2020-08-13,,,183
0.427086218474974,0.52,2.0,0.8636319387608327,-0.23129527209416634,2020-08-14,,,184
0.44566897477997924,0.73,2.0,0.8636319387608327,-0.23129527209416634,2020-08-17,,,185
0.5025351798239834,0.46,2.0,0.8636319387608327,-0.23129527209416634,2020-08-18,,,186
0.4940281438591868,0.53,2.0,0.8636319387608327,-0.23129527209416634,2020-08-19,,,187
0.5012225150873495,0.515,2.0,0.8636319387608327,-0.23129527209416634,2020-08-20,,,188
0.5039780120698796,-0.12,2.0,0.8636319387608327,-0.23129527209416634,2020-08-21,,,189
0.37918240965590366,0.06,2.0,0.8636319387608327,-0.23129527209416634,2020-08-24,,,190
0.315345927724723,-0.02,2.0,0.8636319387608327,-0.23129527209416634,2020-08-25,,,191
0.2482767421797784,-0.17,2.0,0.8636319387608327,-0.23129527209416634,2020-08-26,,,192
0.16462139374382273,-0.18,2.0,0.8636319387608327,-0.23129527209416634,2020-08-27,,,193
0.09569711499505817,-0.19,2.0,0.8636319387608327,-0.23129527209416634,2020-08-28,,,194
0.03855769199604654,0.1,2.0,0.8636319387608327,-0.23129527209416634,2020-08-31,,,195
0.05084615359683724,-0.1,2.0,0.8636319387608327,-0.23129527209416634,2020-09-01,,,196
